,ori,data_year,offense,state_abbr,cleared,actual
0,NC0410200,1995,homicide,NC,23,36
1,NC0410200,1995,aggravated-assault,NC,578,1189
2,NC0410200,1995,arson,NC,34,133
3,NC0410200,1995,burglary,NC,283,3671
4,NC0410200,1995,human-trafficing,NC,0,0
5,NC0410200,1995,larceny,NC,1676,11067
6,NC0410200,1995,motor-vehicle-theft,NC,298,1208
7,NC0410200,1995,property-crime,NC,2257,15946
8,NC0410200,1995,rape,NC,0,0
9,NC0410200,1995,rape-legacy,NC,52,88
10,NC0410200,1995,robbery,NC,117,785
11,NC0410200,1995,violent-crime,NC,770,2098
12,NC0410200,1996,arson,NC,13,79
13,NC0410200,1996,burglary,NC,334,3228
14,NC0410200,1996,homicide,NC,12,23
15,NC0410200,1996,violent-crime,NC,716,1927
16,NC0410200,1996,robbery,NC,116,710
17,NC0410200,1996,motor-vehicle-theft,NC,270,1048
18,NC0410200,1996,larceny,NC,1765,10190
19,NC0410200,1996,human-trafficing,NC,0,0
20,NC0410200,1996,rape-legacy,NC,55,95
21,NC0410200,1996,rape,NC,0,0
22,NC0410200,1996,property-crime,NC,2369,14466
23,NC0410200,1996,aggravated-assault,NC,533,1099
24,NC0410200,1997,burglary,NC,301,3076
25,NC0410200,1997,aggravated-assault,NC,465,1074
26,NC0410200,1997,violent-crime,NC,649,1974
27,NC0410200,1997,robbery,NC,121,779
28,NC0410200,1997,rape-legacy,NC,41,86
29,NC0410200,1997,rape,NC,0,0
30,NC0410200,1997,property-crime,NC,2428,14543
31,NC0410200,1997,motor-vehicle-theft,NC,254,1138
32,NC0410200,1997,larceny,NC,1873,10329
33,NC0410200,1997,human-trafficing,NC,0,0
34,NC0410200,1997,homicide,NC,22,35
35,NC0410200,1997,arson,NC,8,87
36,NC0410200,1998,violent-crime,NC,604,1949
37,NC0410200,1998,aggravated-assault,NC,439,1038
38,NC0410200,1998,arson,NC,23,90
39,NC0410200,1998,burglary,NC,293,3739
40,NC0410200,1998,homicide,NC,15,20
41,NC0410200,1998,human-trafficing,NC,0,0
42,NC0410200,1998,larceny,NC,1834,10602
43,NC0410200,1998,motor-vehicle-theft,NC,254,1363
44,NC0410200,1998,property-crime,NC,2381,15704
45,NC0410200,1998,rape,NC,0,0
46,NC0410200,1998,rape-legacy,NC,43,90
47,NC0410200,1998,robbery,NC,107,801
48,NC0410200,1999,robbery,NC,114,758
49,NC0410200,1999,rape-legacy,NC,49,105
50,NC0410200,1999,motor-vehicle-theft,NC,248,1339
51,NC0410200,1999,property-crime,NC,2147,13711
52,NC0410200,1999,rape,NC,0,0
53,NC0410200,1999,aggravated-assault,NC,382,938
54,NC0410200,1999,arson,NC,12,68
55,NC0410200,1999,burglary,NC,280,3198
56,NC0410200,1999,homicide,NC,11,19
57,NC0410200,1999,human-trafficing,NC,0,0
58,NC0410200,1999,larceny,NC,1619,9174
59,NC0410200,1999,violent-crime,NC,556,1820
60,NC0410200,2000,arson,NC,12,73
61,NC0410200,2000,violent-crime,NC,662,1892
62,NC0410200,2000,robbery,NC,173,895
63,NC0410200,2000,rape-legacy,NC,46,89
64,NC0410200,2000,rape,NC,0,0
65,NC0410200,2000,property-crime,NC,2768,13081
66,NC0410200,2000,motor-vehicle-theft,NC,365,1109
67,NC0410200,2000,larceny,NC,1982,9008
68,NC0410200,2000,human-trafficing,NC,0,0
69,NC0410200,2000,homicide,NC,10,21
70,NC0410200,2000,aggravated-assault,NC,433,887
71,NC0410200,2000,burglary,NC,421,2964
72,NC0410200,2001,motor-vehicle-theft,NC,252,964
73,NC0410200,2001,larceny,NC,1994,9871
